200319,185716,-system,start log
200319,185733,-system,sys,wsa_accept from 0 - 412
200319,185853,ADMIN,sta,account login 0-0
200319,191442,ADMIN,clo,svr:0 conn:1 save-mob
200319,193418,,clo,svr:0 conn:1 do-not-save
200319,193428,,clo,svr:0 conn:1 do-not-save
200319,193437,,clo,svr:0 conn:1 do-not-save
200319,193817,ADMIN,sta,account login 0-0
200319,193828,ADMIN,clo,svr:0 conn:1 do-not-save
200319,194034,ADMIN,sta,account login 0-0
200319,194042,ADMIN,clo,svr:0 conn:1 do-not-save
200319,194105,ADMIN,sta,account login 0-0
200319,194342,ADMIN,create character [Noobie]
200319,195815,ADMIN,clo,svr:0 conn:1 save-mob
200319,195856,ADMIN,sta,account login 0-0
200319,214417,ADMIN,clo,svr:0 conn:1 save-mob
200320,002155,,clo,svr:0 conn:1 do-not-save
200320,002157,,clo,svr:0 conn:1 do-not-save
200320,002159,,clo,svr:0 conn:1 do-not-save
200320,111710,ADMIN,sta,account login 0-0
200320,114340,ADMIN,clo,svr:0 conn:1 save-mob
200320,171229,ADMIN,sta,account login 0-0
200320,175524,ADMIN,clo,svr:0 conn:1 save-mob
200320,175717,ADMIN,sta,account login 0-0
200320,175810,ADMIN,sys,req_previous_save svr:0 conn:1
200320,175810,,clo,svr:0 conn:2 do-not-save
200320,175810,ADMIN,clo,svr:0 conn:1 do-not-save
200320,175810,,clo,svr:0 conn:1 do-not-save
200320,175812,ADMIN,sta,account login 0-0
200320,181652,ADMIN,clo,svr:0 conn:1 save-mob
200320,181709,,clo,svr:0 conn:1 do-not-save
200320,181802,,clo,svr:0 conn:1 do-not-save
200320,181913,,clo,svr:0 conn:1 do-not-save
200320,181925,,clo,svr:0 conn:1 do-not-save
200320,181935,,clo,svr:0 conn:1 do-not-save
200320,181950,,clo,svr:0 conn:1 do-not-save
200320,181956,,clo,svr:0 conn:1 do-not-save
200320,182027,ADMIN,sta,account login 0-0
200320,182116,,clo,svr:0 conn:2 do-not-save
200320,182330,,clo,svr:0 conn:2 do-not-save
200320,182342,,clo,svr:0 conn:2 do-not-save
200320,182605,ADMIN,clo,svr:0 conn:1 save-mob
200320,184224,ADMIN,sta,account login 0-0
200320,184647,ADMIN,clo,svr:0 conn:1 save-mob
200320,184805,ADMIN,sta,account login 0-0
200320,191722,,clo,svr:0 conn:2 do-not-save
200320,191739,ADMIN,clo,svr:0 conn:1 save-mob
200320,191756,,clo,svr:0 conn:1 do-not-save
200320,191808,,clo,svr:0 conn:1 do-not-save
200320,191916,,clo,svr:0 conn:1 do-not-save
200320,192322,,clo,svr:0 conn:1 do-not-save
200320,192402,,clo,svr:0 conn:1 do-not-save
200320,192405,,clo,svr:0 conn:1 do-not-save
200320,194119,,clo,svr:0 conn:1 do-not-save
200320,194129,,clo,svr:0 conn:1 do-not-save
200320,194131,,clo,svr:0 conn:1 do-not-save
200320,194223,,clo,svr:0 conn:1 do-not-save
200320,194236,,clo,svr:0 conn:1 do-not-save
200320,204310,,clo,svr:0 conn:1 do-not-save
200320,204353,,clo,svr:0 conn:1 do-not-save
200320,204401,,clo,svr:0 conn:1 do-not-save
200320,220357,,clo,svr:0 conn:1 do-not-save
200320,220414,,clo,svr:0 conn:1 do-not-save
200320,220422,,clo,svr:0 conn:1 do-not-save
200320,220437,,clo,svr:0 conn:1 do-not-save
200320,220511,,clo,svr:0 conn:1 do-not-save
200320,224210,,clo,svr:0 conn:1 do-not-save
200320,224245,,clo,svr:0 conn:1 do-not-save
200320,224344,,clo,svr:0 conn:1 do-not-save
200320,224354,,clo,svr:0 conn:1 do-not-save
200320,224408,,clo,svr:0 conn:1 do-not-save
200320,224442,,clo,svr:0 conn:1 do-not-save
200320,231835,-system,clo,server fd 0
200320,231839,-system,sys,wsa_accept from 0 - 432
200320,231855,ADMIN,sta,account login 0-0
200320,233215,ADMIN,clo,svr:0 conn:1 save-mob
200320,233633,-system,clo,server fd 0
200320,233925,-system,sys,wsa_accept from 0 - 448
200320,234324,ADMIN,sta,account login 0-0
200321,000111,,clo,svr:0 conn:2 do-not-save
200321,002103,,clo,svr:0 conn:2 do-not-save
200321,002146,,clo,svr:0 conn:2 do-not-save
200321,002148,,clo,svr:0 conn:2 do-not-save
200321,002238,,clo,svr:0 conn:2 do-not-save
200321,002603,,clo,svr:0 conn:2 do-not-save
200321,002747,,clo,svr:0 conn:2 do-not-save
200321,002759,,clo,svr:0 conn:2 do-not-save
200321,002825,,clo,svr:0 conn:2 do-not-save
200321,003020,,clo,svr:0 conn:2 do-not-save
200321,003104,,clo,svr:0 conn:2 do-not-save
200321,003106,,clo,svr:0 conn:2 do-not-save
200321,005718,,clo,svr:0 conn:2 do-not-save
200321,005724,,clo,svr:0 conn:2 do-not-save
200321,005726,,clo,svr:0 conn:2 do-not-save
200321,005744,,clo,svr:0 conn:2 do-not-save
200321,011655,,clo,svr:0 conn:2 do-not-save
200321,011702,,clo,svr:0 conn:2 do-not-save
200321,014319,ADMIN,clo,svr:0 conn:1 save-mob
200321,014428,ADMIN,sta,account login 0-0
200321,015800,ADMIN,clo,svr:0 conn:1 save-mob
200321,015857,ADMIN,sta,account login 0-0
200321,022522,,clo,svr:0 conn:2 do-not-save
200321,022855,,clo,svr:0 conn:2 do-not-save
200321,022910,TESTE,sta,account login 0-0
200321,022920,TESTE,create character [-ARES-]
200321,024750,ADMIN,clo,svr:0 conn:1 save-mob
200321,024756,ADMIN,sta,account login 0-0
200321,030119,ADMIN,clo,svr:0 conn:1 save-mob
200321,030147,TESTE,clo,svr:0 conn:2 save-mob
200321,030305,ADMIN,sta,account login 0-0
200321,035122,-system,clo,server fd 0
200321,130819,-system,sys,wsa_accept from 0 - 436
200321,130958,-system,clo,server fd 0
200321,131155,-system,sys,wsa_accept from 0 - 324
200321,131220,ADMIN,clo,svr:0 conn:1 do-not-save
200321,131558,ADMIN,sta,account login 0-0
200321,131852,ADMIN,clo,svr:0 conn:1 save-mob
200321,132255,ADM12,sta,account login 0-0
200321,132322,ADMIN,sta,account login 0-0
200321,133324,ADM12,clo,svr:0 conn:1 save-mob
200321,133357,ADMIN,clo,svr:0 conn:2 save-mob
200321,133801,-system,clo,server fd 0
200321,133854,-system,sys,wsa_accept from 0 - 324
200321,133909,ADMIN,sta,account login 0-0
200321,133927,ADM12,sta,account login 0-0
200321,135613,,clo,svr:0 conn:3 do-not-save
200321,135615,,clo,svr:0 conn:3 do-not-save
200321,135627,,clo,svr:0 conn:3 do-not-save
200321,135636,,clo,svr:0 conn:3 do-not-save
200321,135941,ADMIN,clo,svr:0 conn:1 save-mob
200321,140127,ADM12,clo,svr:0 conn:2 save-mob
200321,141759,-system,clo,server fd 0
200321,142614,-system,sys,wsa_accept from 0 - 420
200321,142728,ADM12,sta,account login 0-0
200321,142733,,clo,svr:0 conn:2 do-not-save
200321,142738,,clo,svr:0 conn:2 do-not-save
200321,142745,,clo,svr:0 conn:2 do-not-save
200321,142814,,clo,svr:0 conn:2 do-not-save
200321,142905,,clo,svr:0 conn:2 do-not-save
200321,142937,,clo,svr:0 conn:2 do-not-save
200321,142944,,clo,svr:0 conn:2 do-not-save
200321,142955,ADMIN,sta,account login 0-0
200321,143024,,clo,svr:0 conn:3 do-not-save
200321,143036,,clo,svr:0 conn:3 do-not-save
200321,143113,,clo,svr:0 conn:3 do-not-save
200321,143127,,clo,svr:0 conn:3 do-not-save
200321,143149,,clo,svr:0 conn:3 do-not-save
200321,143222,,clo,svr:0 conn:3 do-not-save
200321,143228,,clo,svr:0 conn:3 do-not-save
200321,143446,ADM12,clo,svr:0 conn:1 save-mob
200321,143555,,clo,svr:0 conn:1 do-not-save
200321,143923,,clo,svr:0 conn:1 do-not-save
200321,144229,,clo,svr:0 conn:1 do-not-save
200321,144357,ADMIN,clo,svr:0 conn:2 save-mob
200321,144724,ADM12,sta,account login 0-0
200321,144823,ADMIN,sta,account login 0-0
200321,144941,ADM12,sys,req_previous_save svr:0 conn:1
200321,144941,,clo,svr:0 conn:3 do-not-save
200321,144944,ADM12,sys,req_previous_save svr:0 conn:1
200321,144944,,clo,svr:0 conn:3 do-not-save
200321,144947,ADM12,sys,req_previous_save svr:0 conn:1
200321,144947,,clo,svr:0 conn:3 do-not-save
200321,144947,ADM12,clo,svr:0 conn:1 save-mob
200321,144950,ADM12,sta,account login 0-0
200321,145056,ADMIN,clo,svr:0 conn:2 save-mob
200321,145134,ADMIN,sta,account login 0-0
200323,210741,ADM12,clo,svr:0 conn:1 save-mob
200321,150117,-system,clo,server fd 0
200321,150155,-system,sys,wsa_accept from 0 - 476
200323,210630,ADMIN,sys,req_previous_save svr:0 conn:2
200323,210630,,clo,svr:0 conn:1 do-not-save
200323,210630,ADMIN,clo,svr:0 conn:2 do-not-save
200323,210635,ADMIN,sta,account login 0-0
200321,150859,ADMIN,clo,svr:0 conn:1 save-mob
200321,151133,ADMIN,sta,account login 0-0
200321,151526,ADMIN,clo,svr:0 conn:1 save-mob
200321,161813,,clo,svr:0 conn:1 do-not-save
200321,162100,,clo,svr:0 conn:1 do-not-save
200321,162542,,clo,svr:0 conn:1 do-not-save
200321,162556,,clo,svr:0 conn:1 do-not-save
200321,162559,,clo,svr:0 conn:1 do-not-save
200321,170942,,clo,svr:0 conn:1 do-not-save
200321,171213,,clo,svr:0 conn:1 do-not-save
200321,171600,,clo,svr:0 conn:1 do-not-save
200321,171809,,clo,svr:0 conn:1 do-not-save
200321,172047,,clo,svr:0 conn:1 do-not-save
200321,172051,,clo,svr:0 conn:1 do-not-save
200321,172321,,clo,svr:0 conn:1 do-not-save
200321,172348,,clo,svr:0 conn:1 do-not-save
200321,172707,,clo,svr:0 conn:1 do-not-save
200321,172710,,clo,svr:0 conn:1 do-not-save
200321,172917,,clo,svr:0 conn:1 do-not-save
200321,173500,,clo,svr:0 conn:1 do-not-save
200321,173512,,clo,svr:0 conn:1 do-not-save
200321,173555,,clo,svr:0 conn:1 do-not-save
200321,173740,,clo,svr:0 conn:1 do-not-save
200321,173958,,clo,svr:0 conn:1 do-not-save
200321,174110,,clo,svr:0 conn:1 do-not-save
200321,174247,,clo,svr:0 conn:1 do-not-save
200321,174306,,clo,svr:0 conn:1 do-not-save
200321,174412,,clo,svr:0 conn:1 do-not-save
200321,174418,,clo,svr:0 conn:1 do-not-save
200321,174605,,clo,svr:0 conn:1 do-not-save
200321,174638,,clo,svr:0 conn:1 do-not-save
200321,174744,,clo,svr:0 conn:1 do-not-save
200321,174805,,clo,svr:0 conn:1 do-not-save
200321,174822,,clo,svr:0 conn:1 do-not-save
200321,174849,,clo,svr:0 conn:1 do-not-save
200321,174902,,clo,svr:0 conn:1 do-not-save
200321,174955,,clo,svr:0 conn:1 do-not-save
200321,175054,,clo,svr:0 conn:1 do-not-save
200321,175107,,clo,svr:0 conn:1 do-not-save
200321,175311,,clo,svr:0 conn:1 do-not-save
200321,175424,,clo,svr:0 conn:1 do-not-save
200321,175427,,clo,svr:0 conn:1 do-not-save
200321,175440,,clo,svr:0 conn:1 do-not-save
200321,175443,,clo,svr:0 conn:1 do-not-save
200321,175454,,clo,svr:0 conn:1 do-not-save
200321,175523,,clo,svr:0 conn:1 do-not-save
200321,175540,,clo,svr:0 conn:1 do-not-save
200321,175550,,clo,svr:0 conn:1 do-not-save
200321,175556,,clo,svr:0 conn:1 do-not-save
200321,175557,,clo,svr:0 conn:1 do-not-save
200321,175558,,clo,svr:0 conn:1 do-not-save
200321,175627,,clo,svr:0 conn:1 do-not-save
200321,175631,,clo,svr:0 conn:1 do-not-save
200321,175649,,clo,svr:0 conn:1 do-not-save
200321,175718,,clo,svr:0 conn:1 do-not-save
200321,175721,,clo,svr:0 conn:1 do-not-save
200321,175755,,clo,svr:0 conn:1 do-not-save
200321,175817,,clo,svr:0 conn:1 do-not-save
200321,175845,,clo,svr:0 conn:1 do-not-save
200321,175852,,clo,svr:0 conn:1 do-not-save
200321,175855,,clo,svr:0 conn:1 do-not-save
200321,175858,,clo,svr:0 conn:1 do-not-save
200321,175904,,clo,svr:0 conn:1 do-not-save
200321,175907,,clo,svr:0 conn:1 do-not-save
200321,175909,,clo,svr:0 conn:1 do-not-save
200321,175913,,clo,svr:0 conn:1 do-not-save
200321,175915,,clo,svr:0 conn:1 do-not-save
200321,175917,,clo,svr:0 conn:1 do-not-save
200321,175917,,clo,svr:0 conn:2 do-not-save
200321,175919,,clo,svr:0 conn:1 do-not-save
200321,175921,,clo,svr:0 conn:1 do-not-save
200321,175922,,clo,svr:0 conn:1 do-not-save
200321,175924,,clo,svr:0 conn:1 do-not-save
200321,175925,,clo,svr:0 conn:1 do-not-save
200321,175925,,clo,svr:0 conn:1 do-not-save
200321,175926,,clo,svr:0 conn:1 do-not-save
200321,175928,,clo,svr:0 conn:1 do-not-save
200321,175928,,clo,svr:0 conn:1 do-not-save
200321,175933,,clo,svr:0 conn:1 do-not-save
200321,175935,,clo,svr:0 conn:1 do-not-save
200321,175935,,clo,svr:0 conn:1 do-not-save
200321,175941,,clo,svr:0 conn:1 do-not-save
200321,175943,,clo,svr:0 conn:1 do-not-save
200321,175946,,clo,svr:0 conn:1 do-not-save
200321,175950,,clo,svr:0 conn:1 do-not-save
200321,175953,,clo,svr:0 conn:1 do-not-save
200321,175956,,clo,svr:0 conn:1 do-not-save
200321,175957,,clo,svr:0 conn:1 do-not-save
200321,180001,,clo,svr:0 conn:1 do-not-save
200321,180004,,clo,svr:0 conn:1 do-not-save
200321,180006,,clo,svr:0 conn:1 do-not-save
200321,180009,,clo,svr:0 conn:1 do-not-save
200321,180013,,clo,svr:0 conn:1 do-not-save
200321,180013,,clo,svr:0 conn:2 do-not-save
200321,180013,,clo,svr:0 conn:1 do-not-save
200321,180014,,clo,svr:0 conn:1 do-not-save
200321,180016,,clo,svr:0 conn:1 do-not-save
200321,180017,,clo,svr:0 conn:1 do-not-save
200321,180017,,clo,svr:0 conn:2 do-not-save
200321,180019,,clo,svr:0 conn:1 do-not-save
200321,180021,,clo,svr:0 conn:1 do-not-save
200321,180023,,clo,svr:0 conn:2 do-not-save
200321,180024,,clo,svr:0 conn:2 do-not-save
200321,180025,,clo,svr:0 conn:1 do-not-save
200321,180025,,clo,svr:0 conn:2 do-not-save
200321,180025,,clo,svr:0 conn:1 do-not-save
200321,180026,,clo,svr:0 conn:1 do-not-save
200321,180028,,clo,svr:0 conn:1 do-not-save
200321,180029,,clo,svr:0 conn:1 do-not-save
200321,180033,,clo,svr:0 conn:1 do-not-save
200321,180033,,clo,svr:0 conn:1 do-not-save
200321,180034,,clo,svr:0 conn:1 do-not-save
200321,180036,,clo,svr:0 conn:1 do-not-save
200321,180037,,clo,svr:0 conn:1 do-not-save
200321,180038,,clo,svr:0 conn:1 do-not-save
200321,180039,,clo,svr:0 conn:1 do-not-save
