200405,060009,00000000,-system,sys,town tax report: 0 0 0 0 0 -Exp : 1361230 
200405,060010,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060011,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060011,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060012,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060013,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060013,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060014,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060014,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060015,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060016,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060016,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060017,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060017,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060018,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060018,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060020,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060020,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060021,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060021,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060022,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060022,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060023,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060024,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060024,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060025,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060025,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060026,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060027,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060028,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060028,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060029,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060030,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060030,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060031,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060032,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060032,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060034,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060034,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060035,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060035,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060036,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060036,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060037,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060038,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060038,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060039,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060039,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060040,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
200405,060040,c5b6deba,JUNINHOFRAGA,sel,Ropelion 95000  01a43d0000000000 
200405,060042,c5b6deba,SHENS90,sel,Aki 95000  01a43d0000000000 
