Code	Kor	W_Eng
1  _NN_Get_Skill_Point	Foram adicionados 9 pontos de skill.	
2  _NN_Weapon_Enchanted	Quest: Sua arma foi aprimorada.
3  _NN_Get_Watching_Town_Mission	Recebeu a missão para ajudar os soldados da Terra Mística.              	
4  _NN_Watching_Town_Success	Você está provando ser um grande guerreiro. Fale com o Capitão.	
5  _NN_Watching_Town_Awarded	Recebeu a recompensa do Capitão.	
6  _NN_Qest06Complete	Pontos de skill foram resetados.	
7  _NN_Qest07Complete	"Bloqueio #01 foi quebrado.	
8  _NN_Qest08Complete	"Bloqueio #02 foi quebrado."	
9  _NN_Qest09Complete	"Bloqueio #03 foi quebrado."	
10  _NN_Qest10Complete	"Bloqueio #04 foi quebrado."	
11  _NN_Qest11Complete	"Quest #11 completa."	
12  _NN_Qest12Complete	"Quest #12 completa."	
13  _NN_Qest13Complete	"Quest #13 completa."	
14  _NN_Qest14Complete	"Quest #14 completa."	
15  _NN_Qest15Complete	"Quest #15 completa."	
16  _NN_Qest16Complete	"Quest #16 completa."
17  _NN_ServerRebootAfter_1minute	Aviso: O Servidor será reiniciado em 1 minuto.
18  _NN_Rerun_Game_For_Auto_Patch	Aviso: Feche o client para evitar problemas.
19  _NN_ServerReboot_After_30Sec	Aviso: Reiniciando em 30 segundos.
20  _NN_ServerReboot_Takes_10min	Aviso: Reiniciando em 20 segundos.
21  _NN_ServerReboot_After_10Sec	Aviso: Reiniciando em 10 segundos.
22  _NN_ServerReboot_Now	Aviso: O servidor será reiniciado agora.
23  _NN_Bad_Network_Packets	Rede instável. O jogo será finalizado.
24  _NN_Only_Guild_Master_can	Somente o líder de guilda pode apostar.
25  _NN_Champions_Cant_Challange	A guilda dona da cidade não pode apostar.
26  _NN_Last_Challange_Cant	Desafio da semana passada não pode ser aplicado.
27  _NN_Allready_Challanged	Desafio já realizado.
28  _NN_Cant_Get_More_Challanger	Essa cidade não pode aceitar mais desafios.
29  _NN_Need_Sign_Of_Challanger	Você precisa de fama para realizar o desafio.
30  _NN_Challanged	O seu pedido de desafio foi aceito.
31  _NN_Cant_Create_More_Summons	Não é possível summonar aqui.
32  _NN_1_Kind_Summon_in_1_Party	Você não pode summonar a mesma pessoa em grupo..
33  _NN_Party_Full_Cant_Summon	Grupo Cheio. Impossível summonar.
34  _NN_SelectCharacter	Escolha o seu personagem.
35  _NN_ServerReboot_Cant_Connect	Servidor Ocupado. Tente novamente em alguns instantes.
36  _NN_Version_Not_Match_Rerun	Execute o Launcher para receber as atualizações.
37  _NN_3_Tims_Wrong_Pass	"Você errou a senha 3 vezes. Login bloqueado por 5 minutos."
38  _NN_Wait_Checking_Billing	Por favor, aguarde.
39  _DN_Not_Allowed_Account	Conta não autorizada.
40  _NN_Using_Other_Server_Group	Sua conta está sendo utilizada em outro servidor.
41  _NN_Wait_Checking_Billing_t	Você iniciou o jogo em modo direto.
42  _NN_Not_Allowed_Account_t	Você iniciou o jogo em modo gratuito.
43  _NN_Using_Other_Server_Group_t	Você se conectou em modo de servidor independente.
44  _NN_Cant_Deposit_That_Much	Você não pode depositar mais do que você tem.
45  _NN_Cant_Withdraw_That_Much	Você não pode sacar mais do que você tem.
46  _NN_Newbie_zone	Permitido apenas level 35 ou inferior no campo de treino
47  _NN_Only_Guild_Members	So é permitido a entrada de membros de guilda.
48  _NN_Cant_Summon_Dead_Person	Personagens mortos não podem ser summonados.
49  _NN_Summon_Not_Allowed_Here	Impossível summonar nessa área.
50  _NN_Too_High_Level_To_Summon	O level do oponente é muito alto para isso.
51  _NN_Not_Enough_Mana	Mana insuficiente.
52  _SN_Summoned_By_S	Você foi summonado por [%s].
53  _NN_Level_Up	Parabéns você subiu de nível
54  _NN_3_Quarters_Bonus	Adquiriu 3/4 de Bônus
55  _NN_2_Quarters_Bonus	Adquiriu 2/4 de Bônus
56  _NN_1_Quarters_Bonus	Adquiriu 1/4 de Bônus
57  _SS_Champion_And_Challanger	A Guilda campeã [%s]. Recebeu o desafio da guilda [%s].
58  _SN_No_Challanger	Sem desafiantes. A Guilda [%s] continua dona da cidade.
59  _SN_Winner_Is	A guilda vencedora da guerra de cidades é %s.
60  _NN_Teleport_Gate_Requir	Somente level 30 ou mais podem usar o portal.
61  _SN_I_Wwill_Enchant_Your_Weapon	Eu irei aprimorar a sua arma %s!
62  _NN_Gather_7_Clistals	Traga-me os 7 cristais e eu aprimorarei sua arma.
63  _NN_Equip_Weapon_To_Enchant	Traga uma arma para ser abençoada.
64  _NN_Only_Nomal_Weapons	Somente armas normais podem ser abençoadas.
65  _SN_Now_I_Will_Enchant_Your	“Com os 7 cristais, eu poderei aprimorar a sua arma %s”
66  _SN_All_Villagers_Thanks_Your	%s sua ajuda foi muito útil para a cidade.
67  _NN_Give_You_Some_Reward	Aceite isso como uma forma de agradecimento.
68  _NN_Guard_This_Village	Os reforços de Azran estão a caminho.
69  _NN_Monster_Attaking_Us_Help	As tropas localizadas no sul de Azran precisam de ajuda.
70  _NN_Thanks_for_Helping_us	Obrigado por proteger a cidade.               
71  _NN_Youve_Done_It_Already	Você já concluiu essa quest.
72  _NN_Cant_Drop_Here	Impossível dropar mais aqui.
73  _NN_Guild_Medal_Cant_Be_Droped	 Você não pode descartar esse item.
74  _NN_Only_To_Equips	 Possível usar somente em armas e armaduras equipadas.
75  _NN_Cant_Refine_More	Refinação máxima atingida.
76  _NN_Fail_To_Refine	Obteve uma falha na refinação.
77  _NN_Fail_To_Level_Up	Falha ao subir de level.
78  _NN_No_Return_Point	Sem local salvo para teleporte.
79  _NN_No_Key	Você não possui a chave.
80  _NN_Wrong_Trade_Packet1	Erro com o pacote de negociação.
81  _NN_Only_With_Guild_Master	Este item não pode ser negociado.
82  _NN_Already_Trading	You're Negociando com outro jogador.
83  _NN_Havent_Money_So_Much	GOLD insuficiente.
84  _NN_Opponent_Havent_Money	Você não possui GOLD suficiente como o outro lado.
85  _NN_Each_Of_You_Havent_Space	Ambos não possuem espaço para finalizar a troca.
86  _NN_You_Have_No_Space_To_Trade	Seu inventario esta cheio.
87  _NN_Opponent_Have_No_Space_To	O outro jogador não tem espaço suficiente.
88  _NN_Wrong_Trade_Packet2	Existe algo errado com o pacote de negociação.
89  _NN_Summon	Sumonar
90  _NN_Cant_Use_Killed	Impossível usar morto.
91  _NN_Not_Connected	O jogador não está conectado.
92  _NN_Cant_Use_To_Yourself	Impossível usar em você mesmo.
93  _NN_Cant_Use_To_Killed	Impossível usar em um jogador morto.
94  _NN_Only_To_Party_Or_Guild	Possível usar apenas em membros da guilda ou grupo.
95  _NN_Didnt_Learn_Summon_Skill	Possível usar apenas com a skill de teleporte ou Medalha do Reino.
96  _NN_Cant_Use_That_Here	 Impossível usar aqui.
97  _NN_Too_High_Level	Impossível summonar pela diferença de level.
98  _SN_Summoned_By_S	Você foi sumonado por  [%s].
99  _NN_Relocate	Teleporte.
100  _SN_S_Relocate_To_You	[%s] teleportou-se até você.
101  _NN_Reply	Resposta                                                     
102  _NN_No_One_To_Reply	Ninguém para responder.
103  _SN_S_is_Connected	 [%s] está conectado.
104  _NN_Only_Guild_Member_Can	Você só pode usar o chat de guilda se pertencer a uma.
105  _NN_Maximum_Point_Now	Você não pode aumentar mais.
